STATIONS_ID;MESS_DATUM;  QN;DS_10;GS_10;SD_10;LS_10;eor
         44;202408122010;    3;  -999;  -999;   0.000;-999;eor
         44;202408122020;    3;  -999;  -999;   0.000;-999;eor
         44;202408122030;    3;  -999;  -999;   0.000;-999;eor
         44;202408122040;    3;  -999;  -999;   0.000;-999;eor
         44;202408122050;    3;  -999;  -999;   0.000;-999;eor
         44;202408122100;    3;  -999;  -999;   0.000;-999;eor
         44;202408122110;    3;  -999;  -999;   0.000;-999;eor
         44;202408122120;    3;  -999;  -999;   0.000;-999;eor
         44;202408122130;    3;  -999;  -999;   0.000;-999;eor
         44;202408122140;    3;  -999;  -999;   0.000;-999;eor
         44;202408122150;    3;  -999;  -999;   0.000;-999;eor
         44;202408122200;    3;  -999;  -999;   0.000;-999;eor
         44;202408122210;    3;  -999;  -999;   0.000;-999;eor
         44;202408122220;    3;  -999;  -999;   0.000;-999;eor
         44;202408122230;    3;  -999;  -999;   0.000;-999;eor
         44;202408122240;    3;  -999;  -999;   0.000;-999;eor
         44;202408122250;    3;  -999;  -999;   0.000;-999;eor
         44;202408122300;    3;  -999;  -999;   0.000;-999;eor
         44;202408122310;    3;  -999;  -999;   0.000;-999;eor
         44;202408122320;    3;  -999;  -999;   0.000;-999;eor
         44;202408122330;    3;  -999;  -999;   0.000;-999;eor
         44;202408122340;    3;  -999;  -999;   0.000;-999;eor
         44;202408122350;    3;  -999;  -999;   0.000;-999;eor
         44;202408130000;    3;  -999;  -999;   0.000;-999;eor
         44;202408130010;    3;  -999;  -999;   0.000;-999;eor
         44;202408130020;    3;  -999;  -999;   0.000;-999;eor
         44;202408130030;    3;  -999;  -999;   0.000;-999;eor
         44;202408130040;    3;  -999;  -999;   0.000;-999;eor
         44;202408130050;    3;  -999;  -999;   0.000;-999;eor
         44;202408130100;    3;  -999;  -999;   0.000;-999;eor
         44;202408130110;    3;  -999;  -999;   0.000;-999;eor
         44;202408130120;    3;  -999;  -999;   0.000;-999;eor
         44;202408130130;    3;  -999;  -999;   0.000;-999;eor
         44;202408130140;    3;  -999;  -999;   0.000;-999;eor
         44;202408130150;    3;  -999;  -999;   0.000;-999;eor
         44;202408130200;    3;  -999;  -999;   0.000;-999;eor
         44;202408130210;    3;  -999;  -999;   0.000;-999;eor
         44;202408130220;    3;  -999;  -999;   0.000;-999;eor
         44;202408130230;    3;  -999;  -999;   0.000;-999;eor
         44;202408130240;    3;  -999;  -999;   0.000;-999;eor
         44;202408130250;    3;  -999;  -999;   0.000;-999;eor
         44;202408130300;    3;  -999;  -999;   0.000;-999;eor
         44;202408130310;    3;  -999;  -999;   0.000;-999;eor
         44;202408130320;    3;  -999;  -999;   0.000;-999;eor
         44;202408130330;    3;  -999;  -999;   0.000;-999;eor
         44;202408130340;    3;  -999;  -999;   0.000;-999;eor
         44;202408130350;    3;  -999;  -999;   0.000;-999;eor
         44;202408130400;    3;  -999;  -999;   0.000;-999;eor
